state,state_population,state_area_sq_miles
Alaska,731545,665384
Arizona,7278717,113990
California,39512223,163695
Colorado,5758736,104094
Connecticut,3565278,5543
Idaho,1787065,83569
Illinois,12671821,57914
Indiana,6732219,36420
Iowa,3155070,56273
Maine,1344212,35380
Maryland,6045680,12406
Massachusetts,6892503,10554
Michigan,9986857,96714
Minnesota,5639632,86936
Missouri,6137428,69707
Montana,1068778,147040
Nevada,3080156,110572
New Hampshire,1359711,9349
New Jersey,8882190,8723
New Mexico,2096829,121590
New York,19453561,54555
North Carolina,10488084,53819
Ohio,11689100,44826
Oregon,4217737,98379
Pennsylvania,12801989,46054
Rhode Island,1059361,1545
South Dakota,884659,77116
Tennessee,6829174,42144
Utah,3205958,84897
Vermont,623989,9616
Virginia,8535519,42775
Washington,7614893,71298
West Virginia,1792147,24230
Wisconsin,5822434,65496
Wyoming,578759,97813
